17:10:33.773 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/comment],methods=[POST]}" onto public java.lang.String cn.wmyskxz.blog.controller.ForeController.addMessage(cn.wmyskxz.blog.entity.Comment,javax.servlet.http.HttpServletRequest)
17:10:33.774 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/sys/log],methods=[GET]}" onto public java.util.List<cn.wmyskxz.blog.entity.SysLog> cn.wmyskxz.blog.controller.SysController.listAllLog()
17:10:33.775 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/sys/view],methods=[GET]}" onto public java.util.List<cn.wmyskxz.blog.entity.SysView> cn.wmyskxz.blog.controller.SysController.listAllView()
17:10:33.783 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/v2/api-docs],methods=[GET]}" onto public org.springframework.http.ResponseEntity<springfox.documentation.spring.web.json.Json> springfox.documentation.swagger2.web.Swagger2Controller.getDocumentation(java.lang.String)
17:10:33.800 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/configuration/security]}" onto org.springframework.http.ResponseEntity<springfox.documentation.swagger.web.SecurityConfiguration> springfox.documentation.swagger.web.ApiResourceController.securityConfiguration()
17:10:33.801 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/configuration/ui]}" onto org.springframework.http.ResponseEntity<springfox.documentation.swagger.web.UiConfiguration> springfox.documentation.swagger.web.ApiResourceController.uiConfiguration()
17:10:33.802 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/swagger-resources]}" onto org.springframework.http.ResponseEntity<java.util.List<springfox.documentation.swagger.web.SwaggerResource>> springfox.documentation.swagger.web.ApiResourceController.swaggerResources()
17:10:33.812 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
17:10:33.812 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
17:10:34.254 logback [restartedMain] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
17:10:34.602 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@47cbaacd: startup date [Sat Dec 24 17:10:26 EST 2022]; root of context hierarchy
17:10:34.646 logback [restartedMain] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/toLogin] onto handler of type [class org.springframework.web.servlet.mvc.ParameterizableViewController]
17:10:34.665 logback [restartedMain] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
17:10:34.666 logback [restartedMain] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
17:10:34.758 logback [restartedMain] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
17:10:35.125 logback [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
17:10:35.212 logback [restartedMain] INFO  o.s.j.e.a.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
17:10:35.219 logback [restartedMain] INFO  o.s.j.e.a.AnnotationMBeanExporter - Bean with name 'statFilter' has been autodetected for JMX exposure
17:10:35.220 logback [restartedMain] INFO  o.s.j.e.a.AnnotationMBeanExporter - Bean with name 'dataSource' has been autodetected for JMX exposure
17:10:35.236 logback [restartedMain] INFO  o.s.j.e.a.AnnotationMBeanExporter - Located MBean 'dataSource': registering with JMX server as MBean [com.alibaba.druid.spring.boot.autoconfigure:name=dataSource,type=DruidDataSourceWrapper]
17:10:35.239 logback [restartedMain] INFO  o.s.j.e.a.AnnotationMBeanExporter - Located MBean 'statFilter': registering with JMX server as MBean [com.alibaba.druid.filter.stat:name=statFilter,type=StatFilter]
17:10:35.273 logback [restartedMain] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
17:10:35.292 logback [restartedMain] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found {0} custom documentation plugin(s)
17:10:35.302 logback [restartedMain] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
17:10:35.308 logback [restartedMain] INFO  s.d.s.w.ClassOrApiAnnotationResourceGrouping - Group for method addArticle was back-controller
17:10:35.309 logback [restartedMain] INFO  s.d.s.w.s.ApiListingReferenceScanner - Request mapping: addArticle belongs to groups: [[ResourceGroup{groupName='back-controller', position=0, controller=cn.wmyskxz.blog.controller.BackController}]] 
17:10:35.310 logback [restartedMain] INFO  s.d.s.w.ClassOrApiAnnotationResourceGrouping - Group for method updateArticlePicture was back-controller
17:10:35.310 logback [restartedMain] INFO  s.d.s.w.s.ApiListingReferenceScanner - Request mapping: updateArticlePicture belongs to groups: [[ResourceGroup{groupName='back-controller', position=0, controller=cn.wmyskxz.blog.controller.BackController}]] 
17:10:35.310 logback [restartedMain] INFO  s.d.s.w.ClassOrApiAnnotationResourceGrouping - Group for method changeArticleCategory was back-controller
17:10:35.310 logback [restartedMain] INFO  s.d.s.w.s.ApiListingReferenceScanner - Request mapping: changeArticleCategory belongs to groups: [[ResourceGroup{groupName='back-controller', position=0, controller=cn.wmyskxz.blog.controller.BackController}]] 
17:10:35.310 logback [restartedMain] INFO  s.d.s.w.ClassOrApiAnnotationResourceGrouping - Group for method deleteArticle was back-controller
17:10:35.310 logback [restartedMain] INFO  s.d.s.w.s.ApiListingReferenceScanner - Request mapping: deleteArticle belongs to groups: [[ResourceGroup{groupName='back-controller', position=0, controller=cn.wmyskxz.blog.controller.BackController}]] 
17:10:35.311 logback [restartedMain] INFO  s.d.s.w.ClassOrApiAnnotationResourceGrouping - Group for method updateArticle was back-controller
17:10:35.311 logback [restartedMain] INFO  s.d.s.w.s.ApiListingReferenceScanner - Request mapping: updateArticle belongs to groups: [[ResourceGroup{groupName='back-controller', position=0, controller=cn.wmyskxz.blog.controller.BackController}]] 
17:10:35.312 logback [restartedMain] INFO  s.d.s.w.ClassOrApiAnnotationResourceGrouping - Group for method getArticleDtoById was back-controller
17:10:35.312 logback [restartedMain] INFO  s.d.s.w.s.ApiListingReferenceScanner - Request mapping: getArticleDtoById belongs to groups: [[ResourceGroup{groupName='back-controller', position=0, controller=cn.wmyskxz.blog.controller.BackController}]] 
17:10:35.313 logback [restartedMain] INFO  s.d.s.w.ClassOrApiAnnotationResourceGrouping - Group for method updateCategoryInfo was back-controller
17:10:35.314 logback [restartedMain] INFO  s.d.s.w.s.ApiListingReferenceScanner - Request mapping: updateCategoryInfo belongs to groups: [[ResourceGroup{groupName='back-controller', position=0, controller=cn.wmyskxz.blog.controller.BackController}]] 
17:10:35.314 logback [restartedMain] INFO  s.d.s.w.ClassOrApiAnnotationResourceGrouping - Group for method deleteCategoryInfo was back-controller
17:10:35.314 logback [restartedMain] INFO  s.d.s.w.s.ApiListingReferenceScanner - Request mapping: deleteCategoryInfo belongs to groups: [[ResourceGroup{groupName='back-controller', position=0, controller=cn.wmyskxz.blog.controller.BackController}]] 
17:10:35.314 logback [restartedMain] INFO  s.d.s.w.ClassOrApiAnnotationResourceGrouping - Group for method getCategoryInfo was back-controller
17:10:35.315 logback [restartedMain] INFO  s.d.s.w.s.ApiListingReferenceScanner - Request mapping: getCategoryInfo belongs to groups: [[ResourceGroup{groupName='back-controller', position=0, controller=cn.wmyskxz.blog.controller.BackController}]] 
17:10:35.316 logback [restartedMain] INFO  s.d.s.w.ClassOrApiAnnotationResourceGrouping - Group for method addCategoryInfo was back-controller
17:10:35.316 logback [restartedMain] INFO  s.d.s.w.s.ApiListingReferenceScanner - Request mapping: addCategoryInfo belongs to groups: [[ResourceGroup{groupName='back-controller', position=0, controller=cn.wmyskxz.blog.controller.BackController}]] 
17:10:35.318 logback [restartedMain] INFO  s.d.s.w.ClassOrApiAnnotationResourceGrouping - Group for method deleteArticleComment was back-controller
17:10:35.318 logback [restartedMain] INFO  s.d.s.w.s.ApiListingReferenceScanner - Request mapping: deleteArticleComment belongs to groups: [[ResourceGroup{groupName='back-controller', position=0, controller=cn.wmyskxz.blog.controller.BackController}]] 
17:10:35.319 logback [restartedMain] INFO  s.d.s.w.ClassOrApiAnnotationResourceGrouping - Group for method replyComment was back-controller
17:10:35.319 logback [restartedMain] INFO  s.d.s.w.s.ApiListingReferenceScanner - Request mapping: replyComment belongs to groups: [[ResourceGroup{groupName='back-controller', position=0, controller=cn.wmyskxz.blog.controller.BackController}]] 
17:10:35.320 logback [restartedMain] INFO  s.d.s.w.ClassOrApiAnnotationResourceGrouping - Group for method deleteComment was back-controller
17:10:35.320 logback [restartedMain] INFO  s.d.s.w.s.ApiListingReferenceScanner - Request mapping: deleteComment belongs to groups: [[ResourceGroup{groupName='back-controller', position=0, controller=cn.wmyskxz.blog.controller.BackController}]] 
17:10:35.320 logback [restartedMain] INFO  s.d.s.w.ClassOrApiAnnotationResourceGrouping - Group for method getCommentById was back-controller
17:10:35.320 logback [restartedMain] INFO  s.d.s.w.s.ApiListingReferenceScanner - Request mapping: getCommentById belongs to groups: [[ResourceGroup{groupName='back-controller', position=0, controller=cn.wmyskxz.blog.controller.BackController}]] 
17:10:35.321 logback [restartedMain] INFO  s.d.s.w.ClassOrApiAnnotationResourceGrouping - Group for method login was back-controller
17:10:35.322 logback [restartedMain] INFO  s.d.s.w.s.ApiListingReferenceScanner - Request mapping: login belongs to groups: [[ResourceGroup{groupName='back-controller', position=0, controller=cn.wmyskxz.blog.controller.BackController}]] 
17:10:35.322 logback [restartedMain] INFO  s.d.s.w.ClassOrApiAnnotationResourceGrouping - Group for method listAllLog was sys-controller
17:10:35.323 logback [restartedMain] INFO  s.d.s.w.s.ApiListingReferenceScanner - Request mapping: listAllLog belongs to groups: [[ResourceGroup{groupName='sys-controller', position=0, controller=cn.wmyskxz.blog.controller.SysController}]] 
